Date,Open,High,Low,Close,Volume
2016-01-04,72.35,72.66,70.6,71.12,765731
2016-01-05,71.23,72.82,70.95,71.83,548861
2016-01-06,71.5,72.74,70.58,71.32,1646055
2016-01-07,70.49,70.74,69.6,69.81,666119
2016-01-08,70.35,70.95,69.05,69.1,639967
2016-01-11,69.3,69.78,67.93,68.47,504971
2016-01-12,68.95,69.78,68.65,69.26,454388
2016-01-13,69.5,69.72,67.33,67.4,914143
2016-01-14,67.48,68.36,66.7,68.1,876444
2016-01-15,66.87,68.0,66.18,67.12,776919
2016-01-19,67.67,68.38,66.42,66.95,883298
2016-01-20,66.2,67.0,63.84,66.43,1142854
2016-01-21,66.71,67.24,65.39,65.58,1005916
2016-01-22,66.01,66.47,63.66,66.36,1599945
2016-01-25,66.18,66.73,65.57,65.87,760958
2016-01-26,66.04,66.49,65.26,65.79,755497
2016-01-27,65.62,66.54,64.84,65.19,885402
2016-01-28,65.61,65.68,63.48,64.67,847002
2016-01-29,67.7,70.44,67.5,70.14,1913726
2016-02-01,69.85,71.89,68.56,71.4,1373115
2016-02-02,70.29,72.01,70.29,71.44,1143380
2016-02-03,71.68,71.95,70.42,71.46,1152963
2016-02-04,71.59,72.37,70.72,70.92,722293
2016-02-05,70.76,71.82,69.7,71.04,1404286
2016-02-08,70.27,70.46,68.44,69.58,2257538
2016-02-09,67.74,70.07,67.22,68.49,673178
2016-02-10,69.05,71.05,68.96,69.66,541567
2016-02-11,68.66,69.55,67.0,67.27,679840
2016-02-12,68.09,68.86,66.82,67.85,1039071
2016-02-16,68.39,69.93,68.16,69.41,489856
2016-02-17,69.7,71.6,69.53,71.52,516334
2016-02-18,71.52,71.52,70.03,70.63,436113
2016-02-19,70.11,71.61,70.08,71.34,400549
2016-02-22,71.84,72.49,71.05,71.42,301157
2016-02-23,71.17,71.97,70.43,71.7,429375
2016-02-24,71.09,72.26,70.26,72.06,337601
2016-02-25,71.73,73.21,71.58,73.16,467776
2016-02-26,73.51,74.12,73.04,73.48,432788
2016-02-29,73.31,74.4,72.82,73.16,477659
2016-03-01,73.42,75.76,72.6,75.48,731145
2016-03-02,75.23,75.94,74.72,75.59,546018
2016-03-03,75.21,75.88,74.37,75.5,570179
2016-03-04,75.7,76.6,75.24,76.43,769522
2016-03-07,76.22,77.94,76.22,77.77,617717
2016-03-08,77.8,77.82,76.19,77.18,554722
2016-03-09,77.18,78.04,75.08,77.91,598002
2016-03-10,78.38,78.38,76.66,77.41,535188
2016-03-11,78.0,78.49,77.6,78.15,352689
2016-03-14,78.13,78.38,76.84,78.18,328429
2016-03-15,77.49,78.17,76.79,77.04,845745
2016-03-16,76.26,76.41,72.88,74.36,1190769
2016-03-17,74.1,74.87,72.29,74.62,649055
2016-03-18,74.23,75.57,74.16,75.45,923769
2016-03-21,75.9,76.68,75.45,76.16,497280
2016-03-22,75.67,76.91,75.67,76.6,547612
2016-03-23,76.37,76.53,75.3,75.46,434539
2016-03-24,75.4,75.74,74.48,75.59,416384
2016-03-28,76.0,76.35,75.39,75.86,345755
2016-03-29,75.71,78.34,75.55,78.13,487068
2016-03-30,78.43,78.95,77.56,77.75,402982
2016-03-31,77.5,79.03,75.03,78.32,625834
2016-04-01,77.53,79.43,76.55,79.37,683093
2016-04-04,79.27,80.2,78.58,79.75,654111
2016-04-05,79.23,79.84,78.82,79.19,847258
2016-04-06,79.08,80.23,76.98,80.16,433749
2016-04-07,80.0,80.56,78.9,80.48,921957
2016-04-08,80.92,81.19,79.02,80.54,400317
